id_pedido,fecha,id_usuario,id_direccion,id_tarjeta
1,"2023-01-01 10:20:16",1,1,15
2,"2023-01-02 11:05:46",2,2,16
3,"2023-01-03 12:20:01",3,3,17
4,"2023-01-04 13:45:00",4,4,18
5,"2023-01-05 14:27:09",5,5,19
6,"2023-01-10 15:27:09",6,6,20
7,"2023-01-10 16:27:09",7,7,21
8,"2023-01-11 17:27:09",8,8,22
9,"2023-01-11 18:27:09",9,9,23
10,"2023-01-12 19:27:09",10,10,24
11,"2023-01-12 19:27:09",11,11,25
12,"2023-01-12 19:27:09",12,12,26
13,"2023-01-12 19:27:09",13,13,27
14,"2023-01-12 19:27:09",14,15,28
